id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
e76de189,2020-01-25,4,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,2,0,0,0,11.46,5.56,13.1,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-01-26,4,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,2,0,0,0,11.46,5.56,13.1,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-01-27,5,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,2,0,0,0,11.46,5.56,13.1,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-01-28,5,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,2,0,0,0,11.46,5.56,13.1,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-01-29,9,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,2,0,0,0,11.46,5.56,13.1,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-01-30,9,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,2,0,0,0,11.46,5.56,13.1,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-01-31,9,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,2,0,0,0,11.46,5.56,13.1,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-01,10,,,,,,,,,,0,0,0,0,0,0,0,3,1,1,2,0,0,0,16.15,13.89,18.45,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-02,12,,,,,,,,,,0,0,0,0,0,0,0,3,1,1,2,0,0,0,16.15,13.89,18.45,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-03,12,,,,,,,,,,0,0,0,0,0,0,0,3,2,1,2,0,0,0,19.27,19.44,22.02,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-04,13,,,,,,,,,,0,0,0,0,0,0,0,3,2,1,2,0,0,0,19.27,19.44,22.02,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-05,14,,,,,,,,,,0,0,0,0,0,0,0,3,2,1,2,0,0,0,19.27,19.44,22.02,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-06,15,,,,,,,,,,0,0,0,0,0,0,0,3,2,1,2,0,0,0,19.27,19.44,22.02,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-07,15,,,,,,,,,,0,0,0,0,0,0,0,3,2,1,2,0,0,0,19.27,19.44,22.02,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-08,15,,,,,,,,,,0,0,0,0,0,0,0,3,2,1,2,0,0,0,19.27,19.44,22.02,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-09,15,,,,,,,,,,0,0,0,0,0,0,0,3,2,1,2,0,0,0,19.27,19.44,22.02,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-10,15,,,,,,,,,,0,0,0,0,0,0,0,3,2,1,2,0,0,0,19.27,19.44,22.02,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-11,15,,,,,,,,,,0,0,0,0,0,0,0,3,2,1,2,0,0,0,19.27,19.44,22.02,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-12,15,,,,,,,,,,0,0,0,0,0,0,0,3,2,1,2,0,0,0,19.27,19.44,22.02,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
e76de189,2020-02-13,15,,,,,,,,,,0,0,0,0,0,0,0,3,2,1,2,0,0,0,19.27,19.44,22.02,0,1,Australia,,,-31.9961875,141.2327875,24982688,AUS,AU,36,AUD,,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,AU,,AUS
